HWFET,
Time,Speed
s,kmph
389,78.3829047
390,78.5196986
391,78.5196986
392,78.2461108
393,77.972523
394,77.8357291
395,77.4253474
396,77.0149657
397,76.7413779
398,77.1517596
399,77.5621413
400,78.1093169
401,78.6564925
402,79.0668742
403,79.340462
404,79.340462
405,79.340462
406,79.340462
407,79.340462
408,79.340462
409,79.2036681
410,79.0668742
411,78.9300803
412,78.9300803
413,79.0668742
414,79.2036681
415,79.340462
416,79.4772559
417,79.8876376
418,80.5716071
419,80.8451949
420,81.2555766
421,81.8027522
422,81.9395461
423,81.9395461
424,81.8027522
425,81.5291644
426,81.2555766
427,80.9819888
428,80.8451949
429,80.708401
430,80.5716071
431,80.2980193
432,80.1612254
433,80.0244315
434,79.8876376
435,79.8876376
436,79.7508437
437,79.6140498
438,79.4772559
439,79.340462
440,79.2036681
441,79.2036681
442,79.2036681
443,79.2036681
444,79.2036681
445,79.340462
446,79.4772559
447,79.4772559
448,79.6140498
449,79.6140498
450,79.6140498
451,79.4772559
452,79.340462
453,79.340462
454,79.340462
455,79.340462
456,79.340462
457,79.340462
458,79.2036681
459,79.2036681
460,79.340462
461,79.4772559
462,79.4772559
463,79.6140498
464,79.7508437
465,79.7508437
466,79.7508437
467,79.6140498
468,79.4772559
469,79.340462
470,79.0668742
471,78.6564925
472,78.1093169
473,77.972523
474,77.4253474
475,76.7413779
476,76.604584
477,76.3309962
478,75.9206145
479,75.5102328
480,75.3734389
481,75.236645
482,75.0998511
483,75.0998511
484,75.0998511
485,75.0998511
486,75.0998511
487,75.0998511
488,75.236645
489,75.236645
490,75.236645
491,75.236645
492,75.236645
493,75.236645
494,75.3734389
495,75.3734389
496,75.236645
497,75.0998511
498,75.0998511
499,74.9630572
500,74.8262633
501,74.6894694
502,74.4158816
503,74.2790877
504,74.2790877
505,74.1422938
506,74.0054999
507,74.0054999
508,74.0054999
509,73.868706
510,73.868706
511,73.868706
512,73.868706
513,73.868706
514,73.868706
515,73.868706
516,73.868706
517,74.0054999
518,74.1422938
519,74.5526755
520,74.9630572
521,75.0998511
522,75.236645
523,75.3734389
524,75.5102328
525,75.5102328
526,75.6470267
527,75.7838206
528,75.9206145
529,76.0574084
530,76.1942023
531,76.3309962
532,76.4677901
533,76.604584
534,76.604584
535,76.604584
536,76.604584
537,76.604584
